%T (K)	r_RRR10	        r_RRR15	        r_RRR16	        r_RRR25	        r_RRR50	        r_RRR100	r_RRR200	r_RRR300
255	286.7102969	290.2321324	290.5967552	292.2302285	294.076969	298.9705969	310.1258929	319.9058299
256	286.7176503	290.211838	290.5729284	292.1872848	294.0176787	298.9038087	310.0546501	319.8318126
257	286.7243387	290.1910769	290.5486612	292.1440499	293.9582366	298.8369391	309.98336	319.7577591
258	286.7303684	290.1698533	290.5239579	292.1005264	293.8986437	298.7699881	309.9120223	319.6836689
259	286.7357457	290.1481717	290.4988224	292.0567166	293.838901	298.7029558	309.8406367	319.6095416
260	286.740477	290.1260362	290.4732587	292.0126232	293.7790095	298.6358426	309.7692032	319.535377
261	286.7445685	290.1034514	290.4472711	291.9682487	293.7189702	298.5686488	309.6977216	319.4611747
262	286.7480265	290.0804215	290.4208636	291.9235957	293.6587843	298.5013747	309.626192	319.3869348
263	286.7508573	290.056951	290.3940404	291.8786668	293.5984531	298.4340208	309.5546144	319.3126571
264	286.7530671	290.0330442	290.3668054	291.8334646	293.5379776	298.3665877	309.482989	319.2383416
265	286.7546621	290.0087056	290.339163	291.7879919	293.4773593	298.2990758	309.411316	319.1639885
266	286.7556486	289.9839394	290.3111172	291.7422514	293.4165995	298.2314859	309.3395957	319.0895979
267	286.7560326	289.9587501	290.2826722	291.6962458	293.3556996	298.1638187	309.2678284	319.01517
268	286.7558203	289.9331421	290.2538321	291.6499779	293.2946609	298.0960747	309.1960145	318.940705
269	286.7550178	289.9071198	290.224601	291.6034505	293.233485	298.0282549	309.1241544	318.8662034
270	286.7536312	289.8806874	290.1949831	291.5566662	293.1721733	297.9603601	309.0522486	318.7916654
271	286.7516665	289.8538495	290.1649826	291.509628	293.1107274	297.8923911	308.9802977	318.7170915
272	286.7491297	289.8266103	290.1346034	291.4623387	293.0491488	297.8243488	308.9083022	318.6424821
273	286.7460268	289.7989741	290.1038499	291.4148011	292.9874391	297.7562342	308.8362627	318.5678378
274	286.7423638	289.7709453	290.072726	291.3670179	292.9255999	297.6880482	308.7641799	318.4931591
275	286.7381465	289.7425283	290.0412358	291.3189922	292.8636328	297.6197918	308.6920545	318.4184466
276	286.7333808	289.7137272	290.0093835	291.2707266	292.8015396	297.5514661	308.6198873	318.343701
277	286.7280725	289.6845465	289.9771731	291.222224	292.7393218	297.4830722	308.5476788	318.2689228
278	286.7222274	289.6549902	289.9446086	291.1734874	292.6769811	297.414611	308.4754301	318.1941129
279	286.7158514	289.6250628	289.9116941	291.1245195	292.6145193	297.3460838	308.4031418	318.1192718
280	286.7089499	289.5947684	289.8784337	291.0753232	292.551938	297.2774916	308.3308149	318.0444004
